Nome;Categoria;Unidade;Data;Imagem;descricao
K.O. – LAB;Dança;Vila Nova Cachoeirinha;12/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2.png;Uma tarde perfeita para quem ama K-pop e dança! Com workshop para aprender a dançar K-pop, Random Play Dance e apresentações especiais.
CARIMBANDO HISTÓRIAS: A ARTE DA GRAVURA AO LONGO DO TEMPO – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;13/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_CARIMBANDO-HISTORIAS-A-ARTE-DA-GRAVURA-AO-LONGO-DO-TEMPO_CRED-GEMINI-IMAGE-CREATOR.jpg;Você já imaginou contar uma história usando apenas imagens e carimbos? Nesta oficina criativa, o público será convidado a conhecer a gravura, uma das formas mais antigas de comunicação da humanidade, presente desde as pinturas rupestres até expressões da cultura popular. A atividade percorre diferentes tempos e culturas, revelando como símbolos e imagens sempre foram maneiras poderosas de registrar memórias, identidades e narrativas.
OFICINA DE LAMBE-LAMBE – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_OFICINA-DE-LAMBE-LAMBE_CRED-GEMINI-IMAGE-CREATOR.jpg;Já pensou em transformar ideias em arte que fala alto? Na Oficina de Lambe-Lambe, crianças e jovens serão convidados a explorar o universo da arte urbana criando cartazes autorais cheios de estilo, mensagem e criatividade. Mais do que um cartaz, a proposta é transformar ideias em expressão artística e descobrir novas formas de comunicar o que pensamos e sentimos.
CONTAÇÃO DE HISTÓRIAS: CONTOS POPULARES E CONTOS PIRAPORIANOS, COM JANINE RODRIGUES;Biblioteca;Brasilândia;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/JANINE-RODRIGUES_divulgacao-1-scaled.jpg;Prepare-se para mergulhar em um universo de imaginação, afeto e descobertas com a contação de histórias de Janine Rodrigues! Entre contos populares cheios de mistério e coragem, como o do menino Pedro, e narrativas sensíveis que falam sobre identidade e pertencimento, o público é convidado a viajar por histórias que tocam o coração. Com uma linguagem acolhedora e envolvente, Janine conecta memórias da infância à riqueza da cultura afro-brasileira, despertando curiosidade e emoção. Ao final, ainda compartilha os bastidores de suas criações, aproximando ainda mais o público do poder das histórias.
WORKSHOP DE DANÇA CHARME E PASSINHOS DE BAILE COM JAMAL AYO;Dança;Brasilândia;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_13171425326978b910dfcb10.36599176.jpg;A Dança Charme propõe uma vivência que une identidade, movimento e musicalidade. Por meio de passos e trocas coletivas, os participantes exploram a dança charme como manifestação periférica e expressão cultural acessível a todos os níveis e idades.
CINE FÁBRICA VNC;Cinema;Vila Nova Cachoeirinha;15/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_1625360310698a2c19e5d050.62774118.png;A Fábrica de Cultura Vila Nova Cachoeirinha tem o prazer de convidar você para vivenciar a experiência de assistir a uma exibição em sala de cinema, nesse nosso querido espaço que você já conhece! Trazemos atrações que agradam desde adultos até crianças. Esperamos você para a próxima sessão. Bom filme!
ESPECIAL ORGULHO GEEK: OFICINA DE SWORDPLAY, BISCUIT E CARDGAMES;Oficina;Brasilândia;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_759474988697a61a18de748.01258147-1.png;"Venha participar de uma vivência cultural interativa que une oficinas de swordplay e biscuit, integradas a card games, em uma experiência lúdica e participativa para crianças, jovens e adultos.
Realizada em um espaço cultural acolhedor, a atividade convida o público a aprender brincando, estimulando a criatividade, a convivência e o aprendizado por meio do jogo. Entre batalhas encenadas, criação artística e estratégias de cartas, os participantes exploram novas formas de expressão, cooperação e imaginação.
Redes: @rpgcultura"
FEIRA DE TROCA LIVROS E DVDS: GIRANDO HISTÓRIAS – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_FEIRA-DE-TROCA-LIVROS-E-DVDS-GIRANDO-HISTORIAS_CRED-GEMINI-IMAGE-CREATOR.jpg;Que tal renovar sua estante e ainda descobrir novas histórias pelo caminho? A Feira de Troca de Livros e DVDs: Girando Histórias convida o público a participar de um encontro especial de compartilhamento cultural, onde livros e filmes ganham novas casas e continuam sua jornada por diferentes leitores e espectadores. Durante três dias, a biblioteca se transforma em um espaço de troca, convivência e descoberta, incentivando a economia colaborativa e o acesso gratuito à cultura.
ERA UMA VEZ: UM CONTO COLETIVO – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_ERA-UMA-VEZ-UM-CONTO-COLETIVO_CRED-GEMINI-IMAGE-CREATOR.jpg;Que tal ajudar a construir uma história fantástica? Nesta atividade, os frequentadores da biblioteca são convidados a soltar a imaginação e participar da criação de um conto coletivo, onde cada pessoa contribui com um novo trecho da narrativa. A história começa com a clássica frase “era uma vez…” e, a partir daí, ganha caminhos inesperados com a colaboração de todos.
PALAVRA DENTRO DA PALAVRA – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;20/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_PALAVRA-DENTRO-DA-PALAVRA_CRED-GEMINI-IMAGE-CREATOR-2.jpg;Quantas palavras cabem dentro de uma única palavra? Nesta oficina divertida de escrita criativa, crianças e jovens serão convidados a explorar os segredos escondidos nas palavras e descobrir novos significados dentro delas. Por meio de desafios lúdicos, jogos de observação e imagens inspiradoras, os participantes irão identificar pequenas palavras que se escondem dentro de outras maiores, estimulando a leitura, a escrita e o raciocínio linguístico.
